category,job_title,Text,experience_years,skills,education
Full Stack Developers Resumes,MERN Stack Developer,"Principal/Leadership MERN Stack Developer with 8.6+ years of experience in Full Stack Developers.. Proven expertise in REST APIs, Node.js, PostgreSQL and GraphQL.. Educated with Bachelor's in Business Administration from Carnegie Mellon.. Previously worked at Adobe where I managed high-availability solutions.. Established engineering culture and processes across global teams. Directed technology roadmap for 6 product portfolios. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in REST APIs.",8.6,"Spring Boot, JavaScript, REST APIs, Git, Redis, Node.js",Bachelor's in Electrical Engineering
Security Engineers Resumes,Cybersecurity Analyst,"Principal/Leadership Cybersecurity Analyst with 8.8+ years of experience in Security Engineers.. Proven expertise in CISSP, SIEM, CEH, Encryption and Bash.. Educated with PhD in Computer Science from University of Michigan.. Previously worked at Oracle where I implemented enterprise-level solutions.. Established engineering culture and processes across global teams. Advised C-suite on technology strategy and digital transformation initiatives. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in CEH.",8.8,"NIST, Vulnerability Assessment, Network Security, AWS Security, SIEM",Bachelor's in Software Engineering
Python Developers/Data Engineers Resumes,Data Scientist,"Mid-Level Data Scientist with 5.5+ years of experience in Python Developers/Data Engineers.. Proven expertise in Redis, Airflow, NumPy and SQL.. Educated with Bachelor's in Computer Science from Carnegie Mellon.. Previously worked at JP Morgan Chase where I led high-availability solutions.. Reduced deployment time by 43% through CI/CD pipeline optimization. Led development of 3 high-impact features serving 26732+ users. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in SQL.",5.5,"Deep Learning, Dask, Machine Learning, PostgreSQL, PyTorch, ETL",Bachelor's in Business Administration
Full Stack Developers Resumes,Python Full Stack Developer,"Principal/Leadership Python Full Stack Developer with 9.1+ years of experience in Full Stack Developers.. Proven expertise in Python, PostgreSQL, Docker, AWS and MongoDB.. Educated with Master's in Data Science from Stanford.. Previously worked at Dell where I managed customer-facing solutions.. Established engineering culture and processes across global teams. Built and managed 20 person engineering organization. Advised C-suite on technology strategy and digital transformation initiatives. Drove 39% revenue growth through technical innovation. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in PostgreSQL.",9.1,"REST APIs, JavaScript, Microservices, Java, CI/CD, Docker, MongoDB, Redis",Master's in Computer Science
Python Developers/Data Engineers Resumes,Python Developer,"Junior To Mid-Level Python Developer with 3.6+ years of experience in Python Developers/Data Engineers.. Proven expertise in Python, Pandas, Docker and ETL.. Educated with Self-taught from Carnegie Mellon.. Previously worked at Intel where I led enterprise-level solutions.. Implemented automated testing resulting in 35% reduction in bugs. Collaborated with cross-functional teams on 3 major initiatives. Improved system performance by 33% through optimization. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Docker.",3.6,"Pandas, MongoDB, Data Pipelines, SQL, Deep Learning",Bachelor's in Business Administration
Python Developers/Data Engineers Resumes,Data Engineer,"Mid-Level Data Engineer with 4.7+ years of experience in Python Developers/Data Engineers.. Proven expertise in Docker, Data Pipelines, SQL, Machine Learning and Kafka.. Educated with Bachelor's in Mathematics from Oxford.. Previously worked at Square where I developed mission-critical solutions.. Architected scalable solutions using Data Pipelines and Data Pipelines. Reduced deployment time by 33% through CI/CD pipeline optimization. Managed technical debt reduction initiatives saving 96 developer hours monthly. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in SQL.",4.7,"PyTorch, ETL, PostgreSQL, Spark, MongoDB, NumPy",Bachelor's in Information Technology
Full Stack Developers Resumes,MEAN Stack Developer,"Senior MEAN Stack Developer with 7.0+ years of experience in Full Stack Developers.. Proven expertise in GraphQL, REST APIs, PostgreSQL, MongoDB, Node.js, Java and AWS.. Educated with Self-taught from Cambridge.. Previously worked at Wipro where I managed high-availability solutions.. Led team of 11 engineers delivering critical business solutions. Architected and led implementation of microservices handling 9M daily requests. Spearheaded cloud migration project saving $367K annually. Established engineering best practices adopted across 3 teams. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in MongoDB.",7.0,"Docker, REST APIs, ElasticSearch, Spring Boot, Node.js",PhD in Computer Science
Mobile Developers Resumes,Android Developer,"Junior To Mid-Level Android Developer with 2.6+ years of experience in Mobile Developers.. Proven expertise in Kotlin, REST APIs, Flutter, Xcode and App Store.. Educated with Bachelor's in Electrical Engineering from Harvard.. Previously worked at Adobe where I managed scalable solutions.. Collaborated with cross-functional teams on 3 major initiatives. Implemented automated testing resulting in 36% reduction in bugs. Successfully delivered 9 projects using Xcode and Kotlin. Improved system performance by 31% through optimization. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Xcode.",2.6,"REST APIs, React Native, iOS, Swift, Mobile UI/UX, Xcode, Android",Bachelor's in Mathematics
Full Stack Developers Resumes,Python Full Stack Developer,"Mid-Level Python Full Stack Developer with 4.0+ years of experience in Full Stack Developers.. Proven expertise in MongoDB, Docker, React, AWS and GraphQL.. Educated with PhD in Computer Science from Carnegie Mellon.. Previously worked at Zoom where I implemented customer-facing solutions.. Managed technical debt reduction initiatives saving 145 developer hours monthly. Reduced deployment time by 40% through CI/CD pipeline optimization. Architected scalable solutions using GraphQL and React. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in GraphQL.",4.0,"Microservices, MongoDB, Redis, Spring Boot, AWS, Node.js",Master's in Information Systems
Data Analysts Resumes,Product Analyst,"Principal/Leadership Product Analyst with 11.0+ years of experience in Data Analysts.. Proven expertise in Tableau, Dashboard Creation, Data Visualization, Statistics and Python.. Educated with Master's in Artificial Intelligence from University of Michigan.. Previously worked at Airbnb where I architected mission-critical solutions.. Established engineering culture and processes across global teams. Built and managed 26 person engineering organization. Drove 25% revenue growth through technical innovation. Advised C-suite on technology strategy and digital transformation initiatives. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Tableau.",11.0,"Big Data, Data Visualization, Dashboard Creation, A/B Testing",Bachelor's in Software Engineering
